data,decisao_selic,tom,score_hawkish,fonte
2022-02-02,1.5,hawkish,0.8,estimativa_historica
2022-03-16,1.0,hawkish,0.8,estimativa_historica
2022-05-04,1.0,hawkish,0.8,estimativa_historica
2022-06-15,0.5,hawkish,0.8,estimativa_historica
2022-08-03,0.5,hawkish,0.8,estimativa_historica
2022-09-21,0.0,neutro,0.5,estimativa_historica
2022-10-26,0.0,neutro,0.5,estimativa_historica
2022-12-07,0.0,neutro,0.5,estimativa_historica
2023-02-01,0.0,neutro,0.5,estimativa_historica
2023-03-22,0.0,neutro,0.5,estimativa_historica
2023-05-03,0.0,neutro,0.5,estimativa_historica
2023-06-21,0.0,neutro,0.5,estimativa_historica
2023-08-02,-0.5,dovish,0.2,estimativa_historica
2023-09-20,-0.5,dovish,0.2,estimativa_historica
2023-11-01,-0.5,dovish,0.2,estimativa_historica
2023-12-13,-0.5,dovish,0.2,estimativa_historica
2024-01-31,-0.5,dovish,0.2,estimativa_historica
2024-03-20,-0.5,dovish,0.2,estimativa_historica
2024-05-08,-0.25,neutro,0.2,estimativa_historica
2024-06-19,0.0,neutro,0.5,estimativa_historica
2024-07-31,0.0,neutro,0.5,estimativa_historica
2024-09-18,0.25,hawkish,0.8,estimativa_historica
2024-11-06,0.5,hawkish,0.8,estimativa_historica
2024-12-11,1.0,hawkish,0.8,estimativa_historica
2025-01-29,1.0,hawkish,0.8,estimativa_historica
2025-03-19,1.0,hawkish,0.8,estimativa_historica
2025-05-07,0.5,hawkish,0.8,estimativa_historica
